Abbreviation,name,shape,color,commom,charmm,glycam
Glc,Glucose,sphere,blue,GLC MAL BGC, AGLC BGLC,0GA 0GB 1GA 1GB 2GA 2GB 3GA 3GB 4GA 4GB 6GA 6GB PGA PGB QGA QGB RGA RGB SGA SGB TGA TGB UGA UGB VGA VGB WGA WGB XGA XGB YGA YGB ZGA ZGB
Man,Mannose,sphere,green,MAN BMA,AMAN BMAN,0MA 0MB 1MA 1MB 2MA 2MB 3MA 3MB 4MA 4MB 6MA 6MB PMA PMB QMA QMB RMA RMB SMA SMB TMA TMB UMA UMB VMA VMB WMA WMB XMA XMB YMA YMB ZMA ZMB
Gal,Galactose,sphere,yellow,GAL GLA,AGAL BGAL,0LA 0LB 1LA 1LB 2LA 2LB 3LA 3LB 4LA 4LB 6LA 6LB PLA PLB QLA QLB RLA RLB SLA SLB TLA TLB ULA ULB VLA VLB WLA WLB XLA XLB YLA YLB ZLA ZLB
Gul,Gulose,sphere,orange,GUL LGU GUP GL0,AGUL BGUL,0KA 0KB 1KA 1KB 2KA 2KB 3KA 3KB 4KA 4KB 6KA 6KB PKA PKB QKA QKB RKA RKB SKA SKB TKA TKB UKA UKB VKA VKB WKA WKB XKA XKB YKA YKB ZKA ZKB
Alt,Altrose,sphere,pink,ALT,AALT BALT,0EA 0EB 1EA 1EB 2EA 2EB 3EA 3EB 4EA 4EB 6EA 6EB PEA PEB QEA QEB REA REB SEA SEB TEA TEB UEA UEB VEA VEB WEA WEB XEA XEB YEA YEB ZEA ZEB
All,Allose,sphere,purple,ALL WOO,AALL BALL,0NA 0NB 1NA 1NB 2NA 2NB 3NA 3NB 4NA 4NB 6NA 6NB PNA PNB QNA QNB RNA RNB SNA SNB TNA TNB UNA UNB VNA VNB WNA WNB XNA XNB YNA YNB ZNA ZNB
Tal,Talose,sphere,light blue,TAL,ATAL BTAL,0TA 0TB 1TA 1TB 2TA 2TB 3TA 3TB 4TA 4TB 6TA 6TB PTA PTB QTA QTB RTA RTB STA STB TTA TTB UTA UTB VTA VTB WTA WTB XTA XTB YTA YTB ZTA ZTB
Ido,Idose,sphere,brown,IDO,AIDO BIDO,-
GlcNAc,N-acetyl-glucosamine,cube,blue,GLCNAC NAG 4YS SGN BGLN NDG,AGLCNA BGLCNA BGLCN0,0YA 0YB 1YA 1YB 3YA 3YB 4YA 4YB 6YA 6YB QYA QYB UYA UYB UYY VYA VYB VYY WYA WYB XYY
ManNAc,N-acetyl-mannosamine,cube,green,MANNAC,-,0WA 0WB 1WA 1WB 3WA 3WB 4WA 4WB 6WA 6WB QWA QWB UWA UWB VWA VWB WWA WWB
